"","""SWOLLEN GLANDS""","SWOLLEN GLANDS","SWOLLEN GLANDS"
"","""PENILE ICHING""","PENILE ICHING","PENILE ICHING"
"","""IMPOTENCE""","IMPOTENCE","IMPOTENCE"
"","""FREQENT URINATION""","FREQENT URINATION","FREQENT URINATION"
"","""CLOUDY URINE""","CLOUDY URINE","CLOUDY URINE"
"","""BURNING URINATION""","BURNING URINATION","BURNING URINATION"
"","""BLOOD IN URINE""","BLOOD IN URINE","BLOOD IN URINE"
"","""BLOOD IN SEMEN""","BLOOD IN SEMEN","BLOOD IN SEMEN"
"","""DARK URINE""","DARK URINE","DARK URINE"
"","""VOMITING BLOOD""","VOMITING BLOOD","VOMITING BLOOD"
"","""VOMITING""","VOMITING","VOMITING"
"","""UPSET STOMACH""","UPSET STOMACH","UPSET STOMACH"
"","""STOMACH CRAMPS""","STOMACH CRAMPS","STOMACH CRAMPS"
"","""NAUSEA""","NAUSEA","NAUSEA"
"","""LOSS OF APPETITE""","LOSS OF APPETITE","LOSS OF APPETITE"
"","""INDIGESTION""","INDIGESTION","INDIGESTION"
"","""INCRESED APPETITE""","INCRESED APPETITE","INCRESED APPETITE"
"","""GAS""","GAS","GAS"
"","""DECRESED APPETITE""","DECRESED APPETITE","DECRESED APPETITE"
"","""ABDOMINAL PAIN""","ABDOMINAL PAIN","ABDOMINAL PAIN"
"","""NUMNESS FINGERS""","NUMNESS FINGERS","NUMNESS FINGERS"
"","""NAILS DISCOULORATION""","NAILS DISCOULORATION","NAILS DISCOULORATION"
"","""HAND PAIN""","HAND PAIN","HAND PAIN"
"","""FINGER PAIN""","FINGER PAIN","FINGER PAIN"
"","""COLD HANDS""","COLD HANDS","COLD HANDS"
"","""COLD FINGERS""","COLD FINGERS","COLD FINGERS"
"","""BRITTLE NAILS""","BRITTLE NAILS","BRITTLE NAILS"
"","""ELBOW PAIN""","ELBOW PAIN","ELBOW PAIN"
"","""PAIN IN ARM""","PAIN IN ARM","PAIN IN ARM"
"","""SHOULDER PAIN""","SHOULDER PAIN","SHOULDER PAIN"
"","""JOIN PAIN""","JOIN PAIN","JOIN PAIN"
"","""PARALYSIS""","PARALYSIS","PARALYSIS"
"","""CHRONIC PAIN""","CHRONIC PAIN","CHRONIC PAIN"
"","""BACK PAIN""","BACK PAIN","BACK PAIN"
"","""PALPITATIONS""","PALPITATIONS","PALPITATIONS"
"","""HYPER VENTILLATION""","HYPER VENTILLATION","HYPER VENTILLATION"
"","""HEART BURN""","HEART BURN","HEART BURN"
"","""SHORTNESS OF BREATH""","SHORTNESS OF BREATH","SHORTNESS OF BREATH"
"","""COUGHING UP BLOOD""","COUGHING UP BLOOD","COUGHING UP BLOOD"
"","""COUGH""","COUGH","COUGH"
"","""CHEAST PAIN WITH BREATHING""","CHEAST PAIN WITH BREATHING","CHEAST PAIN WITH BREATHING"
"","""CHEAST PAIN""","CHEAST PAIN","CHEAST PAIN"
"","""BREAST PAIN""","BREAST PAIN","BREAST PAIN"
"","""BREAST LUMPS""","BREAST LUMPS","BREAST LUMPS"
"","""BREAST DISCHARGE""","BREAST DISCHARGE","BREAST DISCHARGE"
"","""WHITE TONGUE""","WHITE TONGUE","WHITE TONGUE"
"","""VOCAL OUTBURSTS""","VOCAL OUTBURSTS","VOCAL OUTBURSTS"
"","""TOOTH PAIN""","TOOTH PAIN","TOOTH PAIN"
"","""TWINGLING TONGUE""","TWINGLING TONGUE","TWINGLING TONGUE"
"","""SWOLLEN TONGUE""","SWOLLEN TONGUE","SWOLLEN TONGUE"
"","""SWOLLEN LIPS""","SWOLLEN LIPS","SWOLLEN LIPS"
"","""SORE TONGUE""","SORE TONGUE","SORE TONGUE"
"","""SNORING""","SNORING","SNORING"
"","""PAINFULL GUMS""","PAINFULL GUMS","PAINFULL GUMS"
"","""MOUTH SORES""","MOUTH SORES","MOUTH SORES"
"","""LUMP OR MASS ON GUMS""","LUMP OR MASS ON GUMS","LUMP OR MASS ON GUMS"
"","""LOSS OF TASTE SENSETION""","LOSS OF TASTE SENSETION","LOSS OF TASTE SENSETION"
"","""JAW PAIN""","JAW PAIN","JAW PAIN"
"","""HAIRY TONGUE""","HAIRY TONGUE","HAIRY TONGUE"
"","""DYSPHAGIA""","DYSPHAGIA","DYSPHAGIA"
"","""DRY MOUTH""","DRY MOUTH","DRY MOUTH"
"","""DROOLING""","DROOLING","DROOLING"
"","""DIFFICULTY WITH SPEECH""","DIFFICULTY WITH SPEECH","DIFFICULTY WITH SPEECH"
"","""BLOOD IN SPILT""","BLOOD IN SPILT","BLOOD IN SPILT"
"","""BLEEDING GUMS""","BLEEDING GUMS","BLEEDING GUMS"
"","""BAD BREATH""","BAD BREATH","BAD BREATH"
"","""ABNORMAL TEST""","ABNORMAL TEST","ABNORMAL TEST"
"","""NOSTRIL CLOSER""","NOSTRIL CLOSER","NOSTRIL CLOSER"
"","""PAIN IN NOSE""","PAIN IN NOSE","PAIN IN NOSE"
"","""RUNING NOSE""","RUNING NOSE","RUNING NOSE"
"","""NOSE BLEDING""","NOSE BLEDING","NOSE BLEDING"
"","""EAR DISCHARGE""","EAR DISCHARGE","EAR DISCHARGE"
"","""EAR INFECTION""","EAR INFECTION","EAR INFECTION"
"","""RINGING IN EARS""","RINGING IN EARS","RINGING IN EARS"
"","""HEARING LOSS""","HEARING LOSS","HEARING LOSS"
"","""EAR PAIN""","EAR PAIN","EAR PAIN"
"","""WATERY EYE""","WATERY EYE","WATERY EYE"
"","""VISION LOSS""","VISION LOSS","VISION LOSS"
"","""TUNNEL VISION""","TUNNEL VISION","TUNNEL VISION"
"","""SWOLLEN EYES""","SWOLLEN EYES","SWOLLEN EYES"
"","""PTOSIS""","PTOSIS","PTOSIS"
"","""PINK EYE""","PINK EYE","PINK EYE"
"","""PHOTOPHOBIA""","PHOTOPHOBIA","PHOTOPHOBIA"
"","""EYE TWITCH""","EYE TWITCH","EYE TWITCH"
"","""EYE PAIN""","EYE PAIN","EYE PAIN"
"","""EYE DISCHARGE""","EYE DISCHARGE","EYE DISCHARGE"
"","""DRY EYE""","DRY EYE","DRY EYE"
"","""DOUBLE VISION""","DOUBLE VISION","DOUBLE VISION"
"","""DARK CIRCLES UNDER EYES""","DARK CIRCLES UNDER EYES","DARK CIRCLES UNDER EYES"
"","""BLURRED VISION""","BLURRED VISION","BLURRED VISION"
"","""SORE THROAT""","SORE THROAT","SORE THROAT"
"","""NECK PAIN""","NECK PAIN","NECK PAIN"
"","""HOT FLASHES""","HOT FLASHES","HOT FLASHES"
"","""HOARSENESS""","HOARSENESS","HOARSENESS"
"","""HEADACHE""","HEADACHE","HEADACHE"
"","""HAIR LOSS""","HAIR LOSS","HAIR LOSS"
"","""FLAKY SCALP""","FLAKY SCALP","FLAKY SCALP"
"","""FEVER""","FEVER","FEVER"
"","""FAINTING""","FAINTING","FAINTING"
"","""DIZZINESS""","DIZZINESS","DIZZINESS"
"","""CONFUSION""","CONFUSION","CONFUSION"
"","""RASH""","RASH","RASH"
"","""PEELING OF SKIN""","PEELING OF SKIN","PEELING OF SKIN"
"","""PALE SKIN""","PALE SKIN","PALE SKIN"
"","""LOSS OF TEMPRATURE SENSATION""","LOSS OF TEMPRATURE SENSATION","LOSS OF TEMPRATURE SENSATION"
"","""JAUINDICE""","JAUINDICE","JAUINDICE"
"","""ITCHING""","ITCHING","ITCHING"
"","""EXCESIVE SWEAETING""","EXCESIVE SWEAETING","EXCESIVE SWEAETING"
"","""EASY BRUISING""","EASY BRUISING","EASY BRUISING"
"","""DRY SKIN""","DRY SKIN","DRY SKIN"
"","""DRAINAGE OF PUS""","DRAINAGE OF PUS","DRAINAGE OF PUS"
"","""DEPIGMENTATION OF SKIN""","DEPIGMENTATION OF SKIN","DEPIGMENTATION OF SKIN"
"","""CYANOSIS/TURNING BLUE""","CYANOSIS/TURNING BLUE","CYANOSIS/TURNING BLUE"
"","""CHILLS""","CHILLS","CHILLS"
"","""BUMPS ON SKIN""","BUMPS ON SKIN","BUMPS ON SKIN"
"","""Chest Pain""","Chest Pain","Chest Pain"
"","""Dengue""","Dengue","Dengue"
